"## Filename : qalingo-email-wording",,,,,,,,,,,,,,,,,
"## PrefixKey : email",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
"## Qalingo - {Q} Project",,,,,,,,,,,,,,,,,
"## Internationalisation - """"XXLANGUAGE_CODEXX"""" - Email Messages",,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Prefix","Key","en","fr","de","es","it","nl","pt","jp","zh_CN","zh_HK","zh_SG","zh_TW","vi_VN","ru","ca","eu"
"##",,,,,,,,,,,,,,,,,
"## -- Email - Global --",,,,,,,,,,,,,,,,,
"##",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"## -- Common --",,,,,,,,,,,,,,,,,
"common","signature","Best regards, <br />Team Qalingo.","Cordialement, <br />L&#39;équipe Qalingo.","Mit freundlichen Grüßen, <br /> Das Team Qalingo.","Saludos cordiales, <br /> El equipo Qalingo.","Cordiali saluti, <br /> Il team Qalingo.","Met vriendelijke groet, <br /> Het team Qalingo.","Atenciosamente, <br /> A equipe Qalingo.","宜しくお願いします、<br />チームQalingo","最好的问候，<br/>团队Qalingo。","最好的問候，<br/>團隊Qalingo。","最好的问候，<br/>团队Qalingo。","最好的問候，<br/>團隊Qalingo。","Kính thư, <br />Nhóm Qalingo.","С наилучшими пожеланиями, <br /> Команды Qalingo.","Sincerament, <br /> Qalingo equip.","Agur bero bat, <br /> Qalingo taldea."
"common","domain_name","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo.com"
"common","from_name","Qalingo","Qalingo","Qalingo","Qalingo","Qalingo","Qalingo","Qalingo","Qalingo","Qalingo","Qalingo.com","Qalingo.com","Qalingo.com","Qalingo","Qalingo","Qalingo","Qalingo"
,,,,,,,,,,,,,,,,,
"common","legacy_text","Warning: <br /> most of the information provided in this post are not available on the site. The content of this mail is protected by the law on copyright. It can be sent to other recipients. <br />","Attention :<br />la plupart des informations fournies dans ce courrier ne sont pas disponibles sur le site. Le contenu de ce courrier est prot&eacute;g&eacute; par la loi relative aux droits d&#39;auteur. Elle peut &ecirc;tre exp&eacute;di&eacute;e &agrave; d&#39;autres destinataires.<br />","Warning :. <br /> Die meisten Informationen in diesem Beitrag bereitgestellt werden, nicht auf der Website Der Inhalt dieser E-Mail wird durch das Gesetz über das Urheberrecht geschützt Es kann an andere Empfänger <br /> gesendet verfügbar ..","Advertencia :. <br /> La mayor parte de la información proporcionada en este post no están disponibles en el sitio El contenido de este correo está protegido por la ley de derechos de autor que se puede enviar a otros destinatarios <br /> ..","Attenzione :. <br /> La maggior parte delle informazioni fornite in questo post non sono disponibili sul sito Il contenuto di questa mail è protetto dalla legge sul diritto d&#39;autore può essere inviato ad altri destinatari <br /> ..","Waarschuwing :. <br /> De meeste van de in dit bericht gegevens zijn niet beschikbaar op de site De inhoud van deze e-mail worden beschermd door de wet op het auteursrecht Het kan naar andere ontvangers worden verzonden <br /> ..","Aviso :. <br /> A maioria das informações fornecidas neste post não estão disponíveis no site O conteúdo deste e-mail está protegido pela lei de direitos de autor pode ser enviado para outros destinatários <br /> ..",":.<br/>警告このポストで提供される情報のほとんどは、それは/><br他の受信者に送信することができ、このメールの内容は著作権に関する法律により保護されているサイトでは使用できません..","警告：<br/>在这篇文章中提供的信息不可用在网站上。这封邮件的内容是版权法保护。它可以被发送给其他收件人。 <br/>","警告：<br/>在這篇文章中提供的信息不可用在網站上。這封郵件的內容是版權法保護。它可以被發送給其他收件人。 <br/>","警告：<br/>在這篇文章中提供的信息不可用在網站上。這封郵件的內容是版權法保護。它可以被發送給其他收件人。 <br/>","警告：<br/>在這篇文章中提供的信息不可用在網站上。這封郵件的內容是版權法保護。它可以被發送給其他收件人。 <br/>","Cảnh báo: <br /> Hầu hết thông tin hiện có trong bài viết này không hiện hữu trên trang. Nội dung của mail được bảo vệ bởi luật pháp. Nó có thể gửi cho người nhận khác. <br />","Внимание: <br /> большая часть информации, представленной в этой должности не доступны на сайте.Содержание этого письма находится под защитой закона об авторском праве. Это могут быть отправлены другим получателям. <br />","Advertència: <br /> La majoria de la informació en aquesta carta no estan disponibles en el lloc. El contingut d'aquest correu és prot i eacute; p & eacute; per la llei de drets d'autor. Pot i ecirc, ser exp i eacute; di i eacute; i & agreugi; altres destinataris. <br />","Abisua: <br /> gutun honetan informazio gehienak ez dira gunean eskuragarri. Mail honen edukia prot & eacute da; g & eacute; copyright legea arabera. Can & ecirc; izan exp & eacute; di & eacute; e & agrave; <br /> beste hartzaileei."
