## Filename : qalingo-languages
## PrefixKey : language

##
## Qalingo - {Q} Project
## Internationalisation - "XXLANGUAGE_CODEXX" - Languages file
##
"Prefix","Key","en","fr","de","es","it","nl","pt","zh","jp","hk","tw","sg"
,"en","English","Anglais","Englisch","Inglés","Inglese","Engels","Inglês","英语","English","英語","英語","英語"
,"fr","French","Français","Französisch","Francés","Francese","Franse","Francês","法语","French","法語","法語","法語"
,"es","Spanish","Espagnol","Spanisch","Español","Spagnolo","Spaanse","Spanish","西班牙语","Spanish","西班牙語","西班牙語","西班牙語"
,"de","German","Allemand","Deutsch","Alemán","Tedesco","Duitse","Alemão","德语","German","德語","德語","德語"
,"it","Italian","Italien","Italienisch","Italiano","Italiano","Italiaanse","Italiano","意大利语","Italian","意大利語","意大利語","意大利語"
,"nl","Dutch","Hollandais","Niederländisch","Holandés","Olandese","Nederlandse","Holandês","菏兰语","Dutch","菏蘭語","菏蘭語","菏蘭語"
,"pt","Portuguese","Portugais","Portugiesisch","Portugués","Portoghese","Portugese","Português","葡萄牙语","Portuguese","葡萄牙語","葡萄牙語","葡萄牙語"
,"zh","Chinese","Chinese","Chinese","Chinese","Chinese","Chinese","Chinese","简体中文","Chinese","繁體中文","繁體中文","繁體中文"
,"jp","Japan","Japan","Japan","Japan","Japan","Japan","Japan","日语","Japan","日語","日語","日語"
,"unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","Unknown","未知","Unknown","未知","未知","未知"
